"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 21:58:42 GMT 2024","Fri Jan 26 21:58:42 GMT 2024","139","","com.coursemanagement.unit.security.JwtServiceImplTest","","com.coursemanagement.unit.security.JwtServiceImplTest","testJwtGeneration","Test jwt generation",""
"passed","Fri Jan 26 21:58:52 GMT 2024","Fri Jan 26 21:58:52 GMT 2024","33","","com.coursemanagement.unit.resource.AdminResourceTest","","com.coursemanagement.unit.resource.AdminResourceTest","testAdminUserCoursesEndpoint","Test exception deserialization",""
"passed","Fri Jan 26 21:58:53 GMT 2024","Fri Jan 26 21:58:53 GMT 2024","3","","com.coursemanagement.unit.resource.CourseResourceTest","","com.coursemanagement.unit.resource.CourseResourceTest","testUserCoursesByCourseCodeEndpoint","Test unauthorized access to endpoint",""
"passed","Fri Jan 26 21:58:53 GMT 2024","Fri Jan 26 21:58:53 GMT 2024","7","","com.coursemanagement.unit.resource.CourseResourceTest","","com.coursemanagement.unit.resource.CourseResourceTest","testUserCourseFinalMarkEndpoint","Test valid final course mark request",""
"passed","Fri Jan 26 21:58:54 GMT 2024","Fri Jan 26 21:58:54 GMT 2024","13","","com.coursemanagement.unit.resource.CourseManagementResourceTest","","com.coursemanagement.unit.resource.CourseManagementResourceTest","testCourseCompletionEndpoint","Test exception deserialization",""
"passed","Fri Jan 26 21:58:51 GMT 2024","Fri Jan 26 21:58:51 GMT 2024","31","","com.coursemanagement.unit.resource.HomeworkResourceTest","","com.coursemanagement.unit.resource.HomeworkResourceTest","testUploadHomeworkEndpoint","Test valid homework uploading request with text file",""
"passed","Fri Jan 26 21:58:45 GMT 2024","Fri Jan 26 21:58:45 GMT 2024","1","","com.coursemanagement.unit.service.UserAssociationServiceImplTest","","com.coursemanagement.unit.service.UserAssociationServiceImplTest","testUserAssociationAccess","Test user access to their lesson when the current user is different",""
"passed","Fri Jan 26 21:59:05 GMT 2024","Fri Jan 26 21:59:05 GMT 2024","70","","com.coursemanagement.integration.repository.UserCourseRepositoryTest","","com.coursemanagement.integration.repository.UserCourseRepositoryTest","testFindUserCoursesByUserId_User_Is_Fetched","Test find user courses by user id with fetched user",""
"passed","Fri Jan 26 21:58:44 GMT 2024","Fri Jan 26 21:58:44 GMT 2024","1","","com.coursemanagement.unit.service.ResetPasswordServiceImplTest","","com.coursemanagement.unit.service.ResetPasswordServiceImplTest","testResetPasswordFlows","Test reset password confirmation token creation",""
"passed","Fri Jan 26 21:59:09 GMT 2024","Fri Jan 26 21:59:09 GMT 2024","175","","com.coursemanagement.integration.e2e.InstructorAssignmentTest","","com.coursemanagement.integration.e2e.InstructorAssignmentTest","testInstructorAssignmentFlow","Test potential instructor doesn't have respective role",""
"passed","Fri Jan 26 21:58:54 GMT 2024","Fri Jan 26 21:58:54 GMT 2024","6","","com.coursemanagement.unit.resource.CourseManagementResourceTest","","com.coursemanagement.unit.resource.CourseManagementResourceTest","testFeedbackSubmissionEndpoint","Test empty body request",""
"broken","Fri Jan 26 21:59:12 GMT 2024","Fri Jan 26 21:59:12 GMT 2024","125","","com.coursemanagement.integration.e2e.HomeworkManagementTest","","com.coursemanagement.integration.e2e.HomeworkManagementTest","testHomeworkUploadingFlow","Test homework uploading without lesson id",""
"passed","Fri Jan 26 21:59:17 GMT 2024","Fri Jan 26 21:59:17 GMT 2024","29","","com.coursemanagement.integration.e2e.FeedbackSubmissionTest","","com.coursemanagement.integration.e2e.FeedbackSubmissionTest","testBadFeedbackSubmissionFlow","Test submission without specifying a course",""
"passed","Fri Jan 26 21:58:41 GMT 2024","Fri Jan 26 21:58:41 GMT 2024","19","","com.coursemanagement.CourseManagementApplicationTests","","com.coursemanagement.CourseManagementApplicationTests","contextLoads","contextLoads()",""
"passed","Fri Jan 26 21:58:45 GMT 2024","Fri Jan 26 21:58:45 GMT 2024","4","","Test instructor assigment","","com.coursemanagement.unit.service.CourseManagementServiceImplTest$InstructorAssigmentTests","testShouldPassInstructorAssigment_ValidUserRole","Test assign user with role instructor to course",""
"passed","Fri Jan 26 21:59:06 GMT 2024","Fri Jan 26 21:59:06 GMT 2024","37","","com.coursemanagement.integration.repository.CourseRepositoryTest","","com.coursemanagement.integration.repository.CourseRepositoryTest","testFindCourseByCode_Users_Are_Fetched","Test find course by code with fetched users",""
"passed","Fri Jan 26 21:59:14 GMT 2024","Fri Jan 26 21:59:14 GMT 2024","97","","com.coursemanagement.integration.e2e.MarkAssignmentTest","","com.coursemanagement.integration.e2e.MarkAssignmentTest","testValidMarkAssignmentRequest","Test valid mark assignment request [3] Test valid mark assignment (BELOW_AVERAGE) by instructor",""
"passed","Fri Jan 26 21:58:45 GMT 2024","Fri Jan 26 21:58:45 GMT 2024","0","","com.coursemanagement.unit.service.UserAssociationServiceImplTest","","com.coursemanagement.unit.service.UserAssociationServiceImplTest","testUserAssociationAccess","Test current user access to another user",""
"passed","Fri Jan 26 21:59:11 GMT 2024","Fri Jan 26 21:59:11 GMT 2024","31","","com.coursemanagement.integration.e2e.RoleAssignmentTest","","com.coursemanagement.integration.e2e.RoleAssignmentTest","testFailureRoleAssignmentFlow","Test role assignment is not provided",""
